tweet,label,negation_flag,intensifier_flag,annotated_tweet,text
احس غريب اني كل لما امر ب اكتئاب او حزن او اتضايق اتذكر ان ذا مو مكاني وبروح كوكب ثاني ترا م استهبل حقيقي قاع انتظر,1,0,0,احس غريب اني لما امر اكتئاب حزن اتضايق اتذكر مكاني وبروح كوكب ثاني ترا استهبل حقيقي قاع انتظر,احس غريب اني كل لما امر ب اكتئاب او حزن او اتضايق اتذكر ان ذا مو مكاني وبروح كوكب ثاني ترا م استهبل حقيقي قاع انتظر
الروح أصبحت لا تميل لشي ، أصبحت تميل إلى الابتعاد عن كل شي فقط.,1,1,0,الروح اصبحت تميل لشي اصبحت تميل الي الابتعاد فقط,الروح اصبحت لا تميل لشي ، اصبحت تميل الي الابتعاد عن كل شي فقط.
قاعده ابكي,1,0,0,قاعده ابكي,قاعده ابكي
احس في احد رش بالجو بخاخ اكتئاب مو طبيعي كيف الاغلب مكتئب هالفتره,1,0,0,احس احد بالجو بخاخ اكتئاب طبيعي الاغلب مكتئب هالفتره,احس في احد رش بالجو بخاخ اكتئاب مو طبيعي كيف الاغلب مكتئب هالفتره
ها هو قد مرّ شهر كالمر لم أكن بخير أبدًا أبكي كل يوم كبكائي حين رأيتك ,1,1,0,شهر كالمر اكن بخير ابدا ابكي يوم كبكائي حين رايتك,ها هو قد مر شهر كالمر لم اكن بخير ابدا ابكي كل يوم كبكائي حين رايتك
يسطا كفاية اكتئاب وفكر في مستقبلك شوية,1,0,0,يسطا كفايه اكتئاب وفكر مستقبلك شويه,يسطا كفايه اكتئاب وفكر في مستقبلك شويه
هاه ذي الدورة ولا اكتئاب رمضان,1,0,0,هاه الدوره ولا اكتئاب رمضان,هاه ذي الدوره ولا اكتئاب رمضان
انا لوحدي اوي,1,0,0,انا لوحدي اوي,انا لوحدي اوي
الجو فيه شحنة كآبة مش طبيعية,1,0,0,الجو فيه شحنه كابه طبيعيه,الجو فيه شحنه كابه مش طبيعيه
ترا موضوع انه تضيق فيك الدنيا بدون سب وتعيش اما بعصبيه او اكتئاب فجأه بدون مبر ومرات تبكي بدون سب يتّعب النفسيه,1,1,0,ترا موضوع انه تضيق فيك الدنيا بدون وتعيش اما بعصبيه اكتئاب فجاه بدون مبر ومرات تبكي بدون يتعب النفسيه,ترا موضوع انه تضيق فيك الدنيا بدون سب وتعيش اما بعصبيه او اكتئاب فجاه بدون مبر ومرات تبكي بدون سب يتعب النفسيه
في غيابك مالها طعم الحياة  والوقت صابه في بعدك حزن وملل,1,0,0,غيابك مالها طعم الحياه والوقت صابه بعدك حزن وملل,في غيابك مالها طعم الحياه والوقت صابه في بعدك حزن وملل
اموت من الاكتئاب,1,0,0,اموت الاكتئاب,اموت من الاكتئاب
لا لا لا هذي تسب لي اكتئاب واله,1,1,0,هذي تسب اكتئاب واله,لا لا لا هذي تسب لي اكتئاب واله
الواحد مايدري هو اكتئاب ولا حاله نفسيه ولا نضج,1,0,0,الواحد مايدري اكتئاب ولا حاله نفسيه ولا نضج,الواحد مايدري هو اكتئاب ولا حاله نفسيه ولا نضج
كل ما ارجع اسيوط يجيلي اكتئاب مش عارف كنت مستحملها ازاي,1,1,0,ارجع اسيوط يجيلي اكتئاب عارف كنت مستحملها ازاي,كل ما ارجع اسيوط يجيلي اكتئاب مش عارف كنت مستحملها ازاي
مدري كلامي له علاقه او لا لكن هي كذا اذا بتقعد تسخط تبكي على الوضع الي انت وتقعد تشكى ماراح تقدر تعيش حياتك,1,1,0,مدري كلامي علاقه كذا اذا بتقعد تسخط تبكي علي الوضع الي انت وتقعد تشكي ماراح تقدر تعيش حياتك,مدري كلامي له علاقه او لا لكن هي كذا اذا بتقعد تسخط تبكي علي الوضع الي انت وتقعد تشكي ماراح تقدر تعيش حياتك
البارحة صايدني شي غريب اكتئاب ليوم واحد كنت وايد حاسة بالقبح تمكيجت و قلبت الكبت و جربت كل الملابس الي عندي ي,1,0,0,البارحه صايدني غريب اكتئاب ليوم واحد كنت وايد حاسه بالقبح تمكيجت قلبت الكبت جربت الملابس الي عندي,البارحه صايدني شي غريب اكتئاب ليوم واحد كنت وايد حاسه بالقبح تمكيجت و قلبت الكبت و جربت كل الملابس الي عندي ي
سقطنا جميعاً داخل حفرة اكتئاب,1,0,0,سقطنا جميعا داخل حفره اكتئاب,سقطنا جميعا داخل حفره اكتئاب
اتمنى احس بالامان اكتئاب,1,0,0,اتمني احس بالامان اكتئاب,اتمني احس بالامان اكتئاب
لما بكتئب معدتى بتاخد ع خاطرها اوى لدرجه ممكن اتحسن من مود الاكتئاب بس معدتى لسه زعلانه وبتاخد فتره ع ما تتحسن,1,1,0,لما بكتئب معدتي بتاخد خاطرها اوي لدرجه ممكن اتحسن مود الاكتئاب معدتي لسه زعلانه وبتاخد فتره تتحسن,لما بكتئب معدتي بتاخد ع خاطرها اوي لدرجه ممكن اتحسن من مود الاكتئاب بس معدتي لسه زعلانه وبتاخد فتره ع ما تتحسن
صدقت الاعلام والناس ما يركزون الا ع الناجحين فقط من الي عانوا بحياتهم ونجحوا لكن الي عانوا وانتحروا لا,1,1,0,صدقت الاعلام والناس يركزون الا الناجحين فقط الي عانوا بحياتهم ونجحوا الي عانوا وانتحروا,صدقت الاعلام والناس ما يركزون الا ع الناجحين فقط من الي عانوا بحياتهم ونجحوا لكن الي عانوا وانتحروا لا
ما هو مش هيبقي لا شغل ولا جواز ويبقي اكتئاب وبس,1,1,0,هيبقي شغل ولا جواز ويبقي اكتئاب وبس,ما هو مش هيبقي لا شغل ولا جواز ويبقي اكتئاب وبس
بالضبط احس مو اي شخص يتقبل هالاعمال انا شفت الغرفة الحمراء واله صابني اكتئا,1,0,0,بالضبط احس شخص يتقبل هالاعمال انا شفت الغرفه الحمراء واله صابني اكتئا,بالضبط احس مو اي شخص يتقبل هالاعمال انا شفت الغرفه الحمراء واله صابني اكتئا
حزن😔,1,0,0,حزن😔,حزن😔
مش معنى ان الى بتكلمه فاتح بس مبيردش عليك أنه كدا تنك أو متكبر كل ما فالحكايه أنه مكن يكون معندوش طاقه أنه يرد أومكتئب,1,1,0,معني الي بتكلمه فاتح مبيردش عليك انه كدا تنك متكبر فالحكايه انه مكن معندوش طاقه انه يرد اومكتئب,مش معني ان الي بتكلمه فاتح بس مبيردش عليك انه كدا تنك او متكبر كل ما فالحكايه انه مكن يكون معندوش طاقه انه يرد اومكتئب
الأيام ثقيلة على قلبي مو محتاجة غير عزله لحتى كل الي جواي يتشافى تماما واتجدد من جديد,1,1,0,الايام ثقيله علي قلبي محتاجه غير عزله لحتي الي جواي يتشافي تماما واتجدد جديد,الايام ثقيله علي قلبي مو محتاجه غير عزله لحتي كل الي جواي يتشافي تماما واتجدد من جديد
راجعت العياده و قالت لي هاي نوبة قلق هذا و انا فاضيه قلق لو انشغل شو بيصير فيني 😂😭,1,0,0,راجعت العياده قالت هاي نوبه قلق انا فاضيه قلق انشغل بيصير فيني,راجعت العياده و قالت لي هاي نوبه قلق هذا و انا فاضيه قلق لو انشغل شو بيصير فيني 😂😭
كآبه 😂,1,0,0,كابه,كابه 😂
هناك اكتئاب صامت يسكن البعض إنه اكتئاب أن تعرف أكثر ما يجب أن تعرف حتى تكون في خلاف دائم مع كل شيء و مع نفسك,1,1,0,اكتئاب صامت يسكن البعض انه اكتئاب تعرف اكثر يجب تعرف حتي تكون خلاف دائم شيء نفسك,هناك اكتئاب صامت يسكن البعض انه اكتئاب ان تعرف اكثر ما يجب ان تعرف حتي تكون في خلاف دائم مع كل شيء و مع نفسك
بقيت دايما خايفة و عايشه في قلق و رعب لحسن اي بعد صغير او قله كلام يقلب و يرجعنا لصفر,1,0,0,بقيت دايما خايفه عايشه قلق رعب لحسن صغير قله كلام يقلب يرجعنا لصفر,بقيت دايما خايفه و عايشه في قلق و رعب لحسن اي بعد صغير او قله كلام يقلب و يرجعنا لصفر
وايد مو شوي كآبه,1,0,0,وايد شوي كابه,وايد مو شوي كابه
انا مريت بحالة اكتئاب واكبر غلط انك تاخذ حبوب والشي الصح تصارح اقرب شخص من اهلك او اهلك بالي في قلبك,1,0,0,انا مريت بحاله اكتئاب واكبر غلط انك تاخذ حبوب والشي الصح تصارح اقرب شخص اهلك اهلك بالي قلبك,انا مريت بحاله اكتئاب واكبر غلط انك تاخذ حبوب والشي الصح تصارح اقرب شخص من اهلك او اهلك بالي في قلبك
"ابوهندالقحطاني_x000D_
انا مدري كيف هند هاجرت وتركت ابو طيب يخاف اله_x000D_
انا ابوي اله يرحمه كان مريض نفسي عنده اكتئاب حاد",1,0,0,ابوهندالقحطاني انا مدري هند هاجرت وتركت ابو طيب يخاف اله انا ابوي اله يرحمه مريض نفسي عنده اكتئاب حاد,ابوهندالقحطاني_x<NUM>D_انا مدري كيف هند هاجرت وتركت ابو طيب يخاف اله_x<NUM>D_انا ابوي اله يرحمه كان مريض نفسي عنده اكتئاب حاد
الف حُزن والف ذكرى والف ضِيق وَقلبّ واحد,1,0,0,الف حزن والف ذكري والف ضيق وقلب واحد,الف حزن والف ذكري والف ضيق وقلب واحد
إنَّ المَرء إذا حَزن إستدعى كُلّ أحزانه السابِقة كأنَّ حُزنًا واحِدًا لا يَكفيه,1,1,0,المرء اذا حزن استدعي احزانه السابقه حزنا واحدا يكفيه,ان المرء اذا حزن استدعي كل احزانه السابقه كان حزنا واحدا لا يكفيه
يجماعه ادعولي بالموت فا دعوه 40 غريب مستجابه,1,0,0,يجماعه ادعولي بالموت دعوه غريب مستجابه,يجماعه ادعولي بالموت فا دعوه <NUM> غريب مستجابه
اكتئاب مو طبيعي,1,0,0,اكتئاب طبيعي,اكتئاب مو طبيعي
بداخلي جُرح عميق ، لا أعرف مدى كم هو مٌؤلم لدرجه وجعه لا أعرف كيف اٌدوايه ، جُرح يصعُب علاجه ,1,1,0,بداخلي جرح عميق اعرف مدي مؤلم لدرجه وجعه اعرف ادوايه جرح يصعب علاجه,بداخلي جرح عميق ، لا اعرف مدي كم هو مؤلم لدرجه وجعه لا اعرف كيف ادوايه ، جرح يصعب علاجه
اخ حزن,1,0,0,حزن,اخ حزن
"هو شخص واحد محادثته قادرة _x000D_
تحارب اكتئاب اليوم والحياة كلها",1,0,0,شخص واحد محادثته قادره تحارب اكتئاب اليوم والحياه كلها,هو شخص واحد محادثته قادره _x<NUM>D_تحارب اكتئاب اليوم والحياه كلها
اهاجمك وانا باسوأ حالاتي هذا انتحار,1,0,0,اهاجمك وانا باسوا حالاتي انتحار,اهاجمك وانا باسوا حالاتي هذا انتحار
ضيقه توتر خوف قرف اكتئاب ظغط تعب قلق تفك و كل شي,1,0,0,ضيقه توتر خوف قرف اكتئاب ظغط تعب قلق تفك,ضيقه توتر خوف قرف اكتئاب ظغط تعب قلق تفك و كل شي
لكل شخص يقرا كلامي انا بحاجة دعواتكم انا حزينة ويائسة وبائسة من الحياة الحياة انهكتني وقتلتني ,1,0,0,لكل شخص يقرا كلامي انا بحاجه دعواتكم انا حزينه ويائسه وبائسه الحياه الحياه انهكتني وقتلتني,لكل شخص يقرا كلامي انا بحاجه دعواتكم انا حزينه ويائسه وبائسه من الحياه الحياه انهكتني وقتلتني
انا عمري ما كنت حزين ولقيت حد اروحله ولا اهل ولا حتى صحاب وهذا اسوء,1,1,0,انا عمري كنت حزين ولقيت اروحله ولا اهل ولا حتي صحاب وهذا اسوء,انا عمري ما كنت حزين ولقيت حد اروحله ولا اهل ولا حتي صحاب وهذا اسوء
الاكتئاب الصغير الي فيني قاعد يقتلني,1,0,0,الاكتئاب الصغير الي فيني قاعد يقتلني,الاكتئاب الصغير الي فيني قاعد يقتلني
لو بنت نزلت الشارع بتخاف ل حد يتحرش بيها زي اي واحده ايا كان لبسها ولا شكلها في ناس بعبايات بيتحرشو بيها ,1,0,0,بنت نزلت الشارع بتخاف يتحرش بيها واحده ايا لبسها ولا شكلها ناس بعبايات بيتحرشو بيها,لو بنت نزلت الشارع بتخاف ل حد يتحرش بيها زي اي واحده ايا كان لبسها ولا شكلها في ناس بعبايات بيتحرشو بيها
أنا شايف إن احسن حاجة تقدمها لنفسك الفترة دي إنك تعود علي الحياة لوحدك تعيش لوحدك تخرج لوحدك تاخد قرارات لوحدك,1,0,0,انا شايف احسن حاجه تقدمها لنفسك الفتره انك تعود علي الحياه لوحدك تعيش لوحدك تخرج لوحدك تاخد قرارات لوحدك,انا شايف ان احسن حاجه تقدمها لنفسك الفتره دي انك تعود علي الحياه لوحدك تعيش لوحدك تخرج لوحدك تاخد قرارات لوحدك
اكتر حاجة بترعبني و بتعبني نفسياً هي كلام ابويا على انه كبر و انه حاس ايامه بقت معدودة الافكار دي بتدخلني ف موجة اكتئاب و اله,1,0,0,اكتر حاجه بترعبني بتعبني نفسيا كلام ابويا علي انه كبر انه حاس ايامه بقت معدوده الافكار بتدخلني موجه اكتئاب اله,اكتر حاجه بترعبني و بتعبني نفسيا هي كلام ابويا علي انه كبر و انه حاس ايامه بقت معدوده الافكار دي بتدخلني ف موجه اكتئاب و اله
ما راح تقدرين تنسين ابد ومستحيل تعايشي مع الوضع كذا الدنيا ماتجي على كيف الواحد,1,1,0,راح تقدرين تنسين ابد ومستحيل تعايشي الوضع كذا الدنيا ماتجي علي الواحد,ما راح تقدرين تنسين ابد ومستحيل تعايشي مع الوضع كذا الدنيا ماتجي علي كيف الواحد
انا مكتئب يومين ورايح الديره,1,0,0,انا مكتئب يومين ورايح الديره,انا مكتئب يومين ورايح الديره
مود اكتئاب عظمه,1,0,0,مود اكتئاب عظمه,مود اكتئاب عظمه
وكالعادة أفقد كل شيء ثم أعود لزاوية وحدتي وابكي.,1,0,0,وكالعاده افقد شيء اعود لزاويه وحدتي وابكي,وكالعاده افقد كل شيء ثم اعود لزاويه وحدتي وابكي.
طبيعي إني أبكي بدون سبب,1,1,0,طبيعي اني ابكي بدون سبب,طبيعي اني ابكي بدون سبب
انا حاسس اني تايه مش كويس ولا مبسوط مبقاش عندي شغف لأي حاجه حاسس ان في حاجه ناقصاني واني حابب اكون لوحدي ,1,0,0,انا حاسس اني تايه كويس ولا مبسوط مبقاش عندي شغف لاي حاجه حاسس حاجه ناقصاني واني حابب اكون لوحدي,انا حاسس اني تايه مش كويس ولا مبسوط مبقاش عندي شغف لاي حاجه حاسس ان في حاجه ناقصاني واني حابب اكون لوحدي
السلام عليكم الوالد مريض نفسي وعنده اكتئاب وقلق و وسواس,1,0,0,السلام عليكم الوالد مريض نفسي وعنده اكتئاب وقلق وسواس,السلام عليكم الوالد مريض نفسي وعنده اكتئاب وقلق و وسواس
"اه اوك_x000D_
انا بيجلي حاله الصمت دي بدون اكتئاب هي حاله كده مش عايزه اتكلم بس",1,1,0,اوك انا بيجلي حاله الصمت بدون اكتئاب حاله كده عايزه اتكلم,اه اوك_x<NUM>D_انا بيجلي حاله الصمت دي بدون اكتئاب هي حاله كده مش عايزه اتكلم بس
يؤلمني جسدي كثيراً في ظل انتظاري البائس أن يأتي يوماً جديداً يكون أفضل أنتظر هذا اليوم بشدة شيء ما في قلبي أشبه بالانتحار,1,1,1,يؤلمني جسدي كثيرا انتظاري البائس ياتي يوما جديدا افضل انتظر اليوم بشده شيء قلبي اشبه بالانتحار,يؤلمني جسدي كثيرا في ظل انتظاري البائس ان ياتي يوما جديدا يكون افضل انتظر هذا اليوم بشده شيء ما في قلبي اشبه بالانتحار
يارب خدني انا استنزفت,1,0,0,يارب خدني انا استنزفت,يارب خدني انا استنزفت
من هو افضل طبيب نفسي يعالج الفصام والذهان في ميدي كير,1,0,0,افضل طبيب نفسي يعالج الفصام والذهان ميدي كير,من هو افضل طبيب نفسي يعالج الفصام والذهان في ميدي كير
يجيلي فجاه نوبات قلق قويه لدرجه اني ببدأ اقلق من حاجات مستقبليه اووي,1,0,0,يجيلي فجاه نوبات قلق قويه لدرجه اني ببدا اقلق حاجات مستقبليه اووي,يجيلي فجاه نوبات قلق قويه لدرجه اني ببدا اقلق من حاجات مستقبليه اووي
قلق😭,1,0,0,قلق😭,قلق😭
الي حصل لحازم ده بجد هيدخلني في نوبه اكتئاب حاد كان مستخبيلك ده كله فين بس ياوليدي 💔😥,1,0,0,الي حصل لحازم بجد هيدخلني نوبه اكتئاب حاد مستخبيلك كله فين ياوليدي,الي حصل لحازم ده بجد هيدخلني في نوبه اكتئاب حاد كان مستخبيلك ده كله فين بس ياوليدي 💔😥
تأقلمت على حزني إلا انه ما زال يبكيني مراراً,1,1,0,تاقلمت علي حزني الا انه زال يبكيني مرارا,تاقلمت علي حزني الا انه ما زال يبكيني مرارا
الطب الباطنة بتخلي دماغي تطلع دخان وبتدخلني ف حالة اكتئاب وحشة أوي وبقى مقتنع تمام الاقتناع إن البحر ده واسع فشخ,1,0,0,الطب الباطنه بتخلي دماغي تطلع دخان وبتدخلني حاله اكتئاب وحشه اوي وبقي مقتنع تمام الاقتناع البحر واسع فشخ,الطب الباطنه بتخلي دماغي تطلع دخان وبتدخلني ف حاله اكتئاب وحشه اوي وبقي مقتنع تمام الاقتناع ان البحر ده واسع فشخ
مكتئب ولا حزين بالفطرة,1,0,0,مكتئب ولا حزين بالفطره,مكتئب ولا حزين بالفطره
لم يعد البكاء حل فقط الانتحار 😔💔,1,1,0,يعد البكاء فقط الانتحار,لم يعد البكاء حل فقط الانتحار 😔💔
اتشخصت ب إكتئاب انفعالي حاد 💔🙂,1,0,0,اتشخصت اكتئاب انفعالي حاد,اتشخصت ب اكتئاب انفعالي حاد 💔🙂
حزن مستمر فقدت النوم الاستمتاع بالحياة تقدير الذات صار عندي رهاب اجتماعي حساسية مفرطة عصبية لانهائية توتر وقلق,1,0,0,حزن مستمر فقدت النوم الاستمتاع بالحياه تقدير الذات صار عندي رهاب اجتماعي حساسيه مفرطه عصبيه لانهائيه توتر وقلق,حزن مستمر فقدت النوم الاستمتاع بالحياه تقدير الذات صار عندي رهاب اجتماعي حساسيه مفرطه عصبيه لانهائيه توتر وقلق
يارب فرج همي وسخر لي عبادك,1,0,0,يارب فرج همي وسخر عبادك,يارب فرج همي وسخر لي عبادك
عايزة اكون لوحدي,1,0,0,عايزه اكون لوحدي,عايزه اكون لوحدي
طيب انت عندك اكتئاب في خطة حلوه بتغير شوي مودك جيب ورقه وقلم واكتب في وجه دفتر النعم واكتب ٢٥ نعمة ,1,0,0,طيب انت عندك اكتئاب خطه حلوه بتغير شوي مودك جيب ورقه وقلم واكتب وجه دفتر النعم واكتب نعمه,طيب انت عندك اكتئاب في خطه حلوه بتغير شوي مودك جيب ورقه وقلم واكتب في وجه دفتر النعم واكتب <NUM><NUM> نعمه
مايفضي متروس قلبي حزن,1,0,0,مايفضي متروس قلبي حزن,مايفضي متروس قلبي حزن
حُبك سراب عين تدمع وقلبي فيه إكتئاب متى تشابك إيدينا ونفتك من العذاب ❤️,1,0,0,حبك سراب عين تدمع وقلبي فيه اكتئاب متي تشابك ايدينا ونفتك العذاب,حبك سراب عين تدمع وقلبي فيه اكتئاب متي تشابك ايدينا ونفتك من العذاب ❤️
منجد كآبه لو قعدت لحالي وشغلت فيلم,1,0,0,منجد كابه قعدت لحالي وشغلت فيلم,منجد كابه لو قعدت لحالي وشغلت فيلم
حزن ☹️,1,0,0,حزن,حزن ☹️
إلى أحدهم إفلات يدك وغياب صوتك واختفاء عيناك كانو انتحار,1,0,0,الي احدهم افلات يدك وغياب صوتك واختفاء عيناك كانو انتحار,الي احدهم افلات يدك وغياب صوتك واختفاء عيناك كانو انتحار
أنا بستخدم فيتامينات لأن ف ياول فترة بدأت فعلا احسوبارهاق وشويه اكتئاب عشان كده تقريبا كل يوم بأخ,1,0,0,انا بستخدم فيتامينات لان ياول فتره بدات فعلا احسوبارهاق وشويه اكتئاب عشان كده تقريبا يوم باخ,انا بستخدم فيتامينات لان ف ياول فتره بدات فعلا احسوبارهاق وشويه اكتئاب عشان كده تقريبا كل يوم باخ
"لدي خبران واحد تعيس والثاني جيد لكم_x000D_
_x000D_
التعيس اني لن احذف الحساب_x000D_
_x000D_
والجيداني س احذف تويتر لبعض وقت لا اعلم شهر او",1,1,0,لدي خبران واحد تعيس والثاني جيد لكم التعيس اني احذف الحساب والجيداني احذف تويتر لبعض وقت اعلم شهر,لدي خبران واحد تعيس والثاني جيد لكم_x<NUM>D__x<NUM>D_التعيس اني لن احذف الحساب_x<NUM>D__x<NUM>D_والجيداني س احذف تويتر لبعض وقت لا اعلم شهر او
"كثير بتعز عليا نفسي لأنو هالجملة كانت سب اكتئاب ٦ شهور_x000D_
وكثير بعز عليا وقتها انّي ما قدرت أرد لأنه",1,1,0,كثير بتعز عليا نفسي لانو هالجمله اكتئاب شهور وكثير بعز عليا وقتها اني قدرت ارد لانه,كثير بتعز عليا نفسي لانو هالجمله كانت سب اكتئاب <NUM> شهور_x<NUM>D_وكثير بعز عليا وقتها اني ما قدرت ارد لانه
واله منا عارف هو إكتئاب ولا أنطفاء ولا نضج ولا وحده ولا,1,0,0,واله منا عارف اكتئاب ولا انطفاء ولا نضج ولا وحده ولا,واله منا عارف هو اكتئاب ولا انطفاء ولا نضج ولا وحده ولا
يميناً بالله كآبه منجد,1,0,0,يمينا بالله كابه منجد,يمينا بالله كابه منجد
"اله يحرق مدام هناء على مؤنس على ابراهيم ذات نفسه_x000D_
جابولي اكتئاب هما الثلاثة ومعاهم بدر بيه",1,0,0,اله يحرق مدام هناء علي مؤنس علي ابراهيم ذات نفسه جابولي اكتئاب هما الثلاثه ومعاهم بدر بيه,اله يحرق مدام هناء علي مؤنس علي ابراهيم ذات نفسه_x<NUM>D_جابولي اكتئاب هما الثلاثه ومعاهم بدر بيه
انا زعلانه لدرجه قاعد ابكي بحرقة,1,0,0,انا زعلانه لدرجه قاعد ابكي بحرقه,انا زعلانه لدرجه قاعد ابكي بحرقه
مخنوقه لدرجة الموت,1,0,0,مخنوقه لدرجه الموت,مخنوقه لدرجه الموت
٥ دقايق لو ماقدرت أرقعها بدخل دوامة كأبه نفسيتي صارت هشه,1,0,0,دقايق ماقدرت ارقعها بدخل دوامه كابه نفسيتي صارت هشه,<NUM> دقايق لو ماقدرت ارقعها بدخل دوامه كابه نفسيتي صارت هشه
متحمسه لنومه الي بنامها بدون قلق نفسي وتفكير بكم اسوي حساب ومتى اصحى عشان ابدى,1,1,0,متحمسه لنومه الي بنامها بدون قلق نفسي وتفكير بكم اسوي حساب ومتي اصحي عشان ابدي,متحمسه لنومه الي بنامها بدون قلق نفسي وتفكير بكم اسوي حساب ومتي اصحي عشان ابدي
لا احد ينتظرني ابدا,1,1,0,احد ينتظرني ابدا,لا احد ينتظرني ابدا
الواحد ماعاد يدري هي هذه حياته الحقيقية ولا هو مكتئب,1,0,0,الواحد ماعاد يدري حياته الحقيقيه ولا مكتئب,الواحد ماعاد يدري هي هذه حياته الحقيقيه ولا هو مكتئب
هذا الحلم بيعمل اكتئاب كل يوم الصبح عم احلم يمرق النهار عا خير,1,0,0,الحلم بيعمل اكتئاب يوم الصبح احلم يمرق النهار خير,هذا الحلم بيعمل اكتئاب كل يوم الصبح عم احلم يمرق النهار عا خير
"انا كيف نسيت ان تهاني قعدة ٧ سنوات بنفس كليتي _x000D_
لو اني متذكرة من اول الاسبوع كان ما صكني اكتئاب",1,1,0,انا نسيت تهاني قعده سنوات بنفس كليتي اني متذكره اول الاسبوع صكني اكتئاب,انا كيف نسيت ان تهاني قعده <NUM> سنوات بنفس كليتي _x<NUM>D_لو اني متذكره من اول الاسبوع كان ما صكني اكتئاب
هو مافيش احسن من الانتحار,1,0,0,مافيش احسن الانتحار,هو مافيش احسن من الانتحار
نوبات اكتئاب بين الحينَ والاخر تحطم نصف محاولاتي في إصلاح نفسي,1,0,0,نوبات اكتئاب الحين والاخر تحطم نصف محاولاتي اصلاح نفسي,نوبات اكتئاب بين الحين والاخر تحطم نصف محاولاتي في اصلاح نفسي
"يا ذهينه _x000D_
كل هذا الحزن فينّي_x000D_
تجهلينه _x000D_
كل هذا ومالمحتي _x000D_
شي فيني تعرفينه_x000D_
وأنتي المفروض _x000D_
قبل يمر فيني حزنّ _x000D_
قبلي أنتي تلمحينه",1,0,0,ذهينه الحزن فيني تجهلينه ومالمحتي فيني تعرفينه وانتي المفروض يمر فيني حزن قبلي انتي تلمحينه,يا ذهينه _x<NUM>D_كل هذا الحزن فيني_x<NUM>D_تجهلينه _x<NUM>D_كل هذا ومالمحتي _x<NUM>D_شي فيني تعرفينه_x<NUM>D_وانتي المفروض _x<NUM>D_قبل يمر فيني حزن _x<NUM>D_قبلي انتي تلمحينه
اكتئاب اسمه ازمة مفارقة غرفتي,1,0,0,اكتئاب اسمه ازمه مفارقه غرفتي,اكتئاب اسمه ازمه مفارقه غرفتي
النفسيه زفت فعلا والواحد بيفكر ف الانتحار,1,0,0,النفسيه زفت فعلا والواحد بيفكر الانتحار,النفسيه زفت فعلا والواحد بيفكر ف الانتحار
قاعده اتابع دراما كئيبه وسبت لي اكتئاب زياده 😣,1,0,0,قاعده اتابع دراما كئيبه وسبت اكتئاب زياده,قاعده اتابع دراما كئيبه وسبت لي اكتئاب زياده 😣
كنا نضحك انا واختي على حياتنا البائسه وبكيت وقعدت ابكي ,1,0,0,كنا نضحك انا واختي علي حياتنا البائسه وبكيت وقعدت ابكي,كنا نضحك انا واختي علي حياتنا البائسه وبكيت وقعدت ابكي
يؤسفني اني اقول ان كلهم بلا استثناء خذلوني و يؤسفني اني اقول انا حزين علي نفسي جدا.,1,0,0,يؤسفني اني اقول كلهم بلا استثناء خذلوني يؤسفني اني اقول انا حزين علي نفسي جدا,يؤسفني اني اقول ان كلهم بلا استثناء خذلوني و يؤسفني اني اقول انا حزين علي نفسي جدا.
لو كان الانتحار حلال انتحر طبعاً,1,0,0,الانتحار حلال انتحر طبعا,لو كان الانتحار حلال انتحر طبعا
انا احب ابكي قبل لا أنام صدق اذا تزوجت كيف اخذ راحتي وابكى تو افكر فيها,1,1,0,انا احب ابكي انام صدق اذا تزوجت اخذ راحتي وابكي افكر فيها,انا احب ابكي قبل لا انام صدق اذا تزوجت كيف اخذ راحتي وابكي تو افكر فيها
بصي كفاية عليكي كلام معايا كده عشان ماجبلكيش اكتئاب 😂,1,0,0,بصي كفايه عليكي كلام معايا كده عشان ماجبلكيش اكتئاب,بصي كفايه عليكي كلام معايا كده عشان ماجبلكيش اكتئاب 😂
أنا مرهق أريد الابتعاد عن هذا العالم الذي جعلني مُكتئب ، مُتشتت ، حزين ، يائس ، ضائع ، هارب ، منعزل ، تائه ، وحيد ، صعب ، خائف ، منهك ، متعب ، يحتاج ، يريد ، مختنق ، يكره ، يحب ، متناقض ، خراب داخلي ، أعتقد أن لي حق في ذلك,1,0,0,انا مرهق اريد الابتعاد العالم الذي جعلني مكتئب متشتت حزين يائس ضائع هارب منعزل تائه وحيد صعب خائف منهك متعب يحتاج يريد مختنق يكره يحب متناقض خراب داخلي اعتقد,انا مرهق اريد الابتعاد عن هذا العالم الذي جعلني مكتئب ، متشتت ، حزين ، يائس ، ضائع ، هارب ، منعزل ، تائه ، وحيد ، صعب ، خائف ، منهك ، متعب ، يحتاج ، يريد ، مختنق ، يكره ، يحب ، متناقض ، خراب داخلي ، اعتقد ان لي حق في ذلك
شفي 💔 كذا يجيب اكتئاب,1,0,0,شفي كذا يجيب اكتئاب,شفي 💔 كذا يجيب اكتئاب
إني في حالة هلع وخوف شديد من ذنوبي,1,0,0,اني حاله هلع وخوف شديد ذنوبي,اني في حاله هلع وخوف شديد من ذنوبي
يعني لما دخلت في اكتئاب العودة قربت😭,1,0,0,يعني لما دخلت اكتئاب العوده قربت😭,يعني لما دخلت في اكتئاب العوده قربت😭
وربي مو انا اوف انا مكتئب,1,0,0,وربي انا اوف انا مكتئب,وربي مو انا اوف انا مكتئب
